index,background,roi_1,roi_2,roi_3,roi_4,roi_5,roi_6,roi_7,roi_8,roi_9,roi_10,roi_11,roi_12,roi_13,roi_14,roi_15,roi_16,roi_17,roi_18,roi_19,roi_20,roi_21,roi_22,roi_23,roi_24,roi_25,roi_26,roi_27,roi_28,roi_29,roi_30,roi_31
23,130,224.47606557377048,218.978390461997,216.86993040556754,229.5589664310954,244.78206334274068,191.04769555176222,222.2762592737212,243.08859993952223,192.86831215617545,266.18863083985957,207.31065559286094,186.79247572815535,222.8235294117647,192.11111111111111,180.90838228648892,220.16025046382188,197.79240957717778,220.74825174825176,220.96163117717958,222.8760840238967,199.85376134889754,200.20687772925766,204.475495915986,193.04817487266553,204.0021865889213,217.61073059360731,191.32237392031206,214.88652482269504,191.22037533512065,208.57965343767466,192.03468634686348
24,127,224.65311475409837,218.8628912071535,216.9349652027838,229.93352473498234,244.28033866415805,191.10021086454464,222.43440062475597,243.80919262171153,192.86626746506985,267.60991088306776,206.60311009012193,186.69858781994705,224.23529411764707,193.0,180.75186398553998,220.17045454545453,198.65180845644423,220.95226512617816,222.73965447971074,223.60666795143572,200.10214007782102,200.6110807860262,204.4046091015169,193.04541595925298,203.8372206025267,217.6960616438356,191.48397882418502,215.36717325227963,190.90080428954423,208.5612073784237,191.98671586715867
25,130,224.50841530054646,219.11028315946348,216.98152147828173,230.04063604240284,244.2238946378175,190.90260066271713,222.54724716907458,243.37919564560025,192.69806728007399,267.89035916824196,205.0066266124757,186.63790820829655,227.35294117647058,197.44444444444446,180.8712155445097,220.6458719851577,201.166327050433,221.52751596229857,227.2492969063881,223.92676816342262,199.89088845654993,200.5207423580786,204.28908984830804,193.26358234295415,203.8603012633625,217.61358447488584,191.56297018668153,216.16636271529887,191.4230563002681,208.61710452766908,192.48173431734318
26,130,224.98010928961747,219.75186289120717,218.32277417806574,229.72482332155477,244.72122922546254,191.06014660106436,222.71358844201484,245.861505896583,193.10827126235336,269.3574129084526,203.92498674677506,186.22561782877318,227.58823529411765,195.77777777777777,180.64815860822412,221.29406307977737,202.96943453897097,221.607783520827,232.36500602651668,223.63268452495663,200.19066147859922,201.1211790393013,204.28121353558927,193.50297113752123,205.10422740524783,217.96803652968038,191.5521036500418,216.18176291793313,191.74423592493298,208.87087758524316,192.79926199261993
27,127,224.53267759562843,221.27794336810732,219.81041516678667,228.8518109540636,244.71746629037315,190.89175620042172,222.1854744240531,246.34714242515875,193.00374860036027,269.5121523089387,202.6999469871002,186.18876875551632,217.41176470588235,193.05555555555554,180.63330320831452,221.4786641929499,204.62659195109526,221.46533900881727,239.01265568501407,223.60551165927924,200.12418936446173,200.72652838427948,203.77333722287048,193.79753820033955,206.6921768707483,217.85245433789953,191.77152410142102,215.49989868287742,191.22734584450401,208.43935159306875,192.73763837638376
28,130,225.57901639344263,220.88897168405364,221.14134869210463,229.113074204947,244.91690185010975,191.03062556481575,222.63178445919561,247.5415784699123,193.5544520714668,271.3410748042128,203.26453437003005,186.56774051191528,227.11764705882354,193.94444444444446,180.55450745594217,221.9230055658627,209.58201732042792,221.86074794770448,243.32683808758537,223.7452302948545,199.88813229571986,201.19623362445415,204.4647024504084,194.3261884550085,208.39698736637513,218.261700913242,191.90039008080245,215.77122593718337,191.5426273458445,208.79597540525432,192.9741697416974
29,127,226.48043715846995,221.06408345752607,222.44924406047517,228.8451855123675,244.9379115710254,190.88302038357264,222.55583756345177,249.2763834290898,194.0987780536488,272.0556305698083,203.49107616186606,186.74801412180054,221.1764705882353,198.0,180.68594667871668,222.84995361781077,216.68059093224656,221.4805411979325,253.02129369224588,223.7589130853729,200.06355382619975,201.35889737991266,204.4892065344224,194.54711375212224,211.75315840621963,218.34389269406392,191.73112287545277,215.41337386018236,191.52868632707774,208.49468977082168,192.9022140221402
30,130,225.58513661202187,221.28464977645305,222.81665466762658,229.2117932862191,245.3038570084666,191.09207751782307,223.0150331901601,256.07529482915027,194.8732291514532,272.64852822036187,204.47110796960592,187.2618049426302,223.2941176470588,190.61111111111111,180.57286488929054,222.6032003710575,217.1268466632705,221.5845241714807,261.52410606669343,224.46001156292155,200.2002269779507,202.47652838427948,204.52042007001168,194.92869269949065,219.07701652089406,218.21432648401827,191.7645583728058,215.94772036474163,191.50723860589812,208.9949692565679,193.45774907749077
31,130,225.48502732240436,221.47168405365127,222.4655627549796,229.22901943462898,246.3640639698965,191.73802590621548,223.03299492385787,263.9993952222558,196.72421011635265,273.29813664596276,205.26347411203392,187.47826566637247,228.41176470588235,191.33333333333334,180.93888386805241,223.75858070500928,217.67065715741214,221.8048038917604,264.00803535556446,225.08228945846983,199.89688715953307,205.51228165938863,204.2345390898483,196.1806027164686,240.27939747327503,218.85302511415526,191.96391752577318,216.0257345491388,191.59195710455765,208.66349916154277,194.2961254612546
32,129,224.57879781420766,220.98137108792847,222.77945764338853,229.47040636042402,246.76230793352147,191.38608294005422,222.38617727450216,277.07075899606895,199.16605812764715,274.03713205509047,204.763915886199,188.18744483671668,227.47058823529412,193.05555555555554,180.64386579304113,224.52017625231912,216.38996434029548,221.89662511401642,260.76215347529126,224.99672383888995,200.42688067444877,209.16239082969432,205.55425904317386,198.4932088285229,278.79446064139944,218.8119292237443,192.3661186960156,216.1566362715299,191.45576407506704,208.47121296813862,194.35295202952028
